filename,gt_material,pred_material
23155_cardboard_#_31,cardboard,leather
37983_sponge_#_42,sponge,bone
103246_paper_#_7,paper,fabric
38145_cardboard_#_42,cardboard,cardboard
210444_soil_#_0,soil,stone
188488_wax_#_7,wax,wax
34351_leather_#_10,leather,leather
33525_bone_#_49,bone,bone
40890_gemstone_#_4,gemstone,fabric
50118_concrete_#_37,concrete,soil
233330_paper_#_1,paper,paper
207933_bone_#_7,bone,bone
45516_leather_#_40,leather,metal
226302_wood_#_6,wood,wood
193674_concrete_#_5,concrete,stone
223189_foliage_#_31,foliage,foliage
60527_ceramic_#_34,ceramic,cardboard
220030_fur_#_23,fur,fur
45164_glass_#_18,glass,glass
44840_ceramic_#_14,ceramic,ceramic
147923_wood_#_48,wood,cardboard
206453_fur_#_8,fur,fur
219411_plastic_#_29,plastic,plastic
225907_bone_#_20,bone,bone
33673_leather_#_3,leather,leather
26267_wicker_#_18,wicker,wicker
39809_sponge_#_2,sponge,sponge
38323_ceramic_#_2,ceramic,glass
226314_fur_#_5,fur,fur
231921_plastic_#_19,plastic,plastic
23096_glass_#_1,glass,glass
41521_stone_#_44,stone,stone
229972_soil_#_20,soil,soil
224566_fur_#_29,fur,fur
219290_stone_#_49,stone,concrete
37230_wood_#_18,wood,wood
27571_wood_#_3,wood,wood
209996_soil_#_49,soil,soil
52866_ceramic_#_12,ceramic,ceramic
197391_fur_#_22,fur,fur
30896_glass_#_40,glass,foliage
60697_glass_#_25,glass,glass
226448_foliage_#_43,foliage,foliage
199738_metal_#_1,metal,leather
53849_sponge_#_31,sponge,sponge
199337_soil_#_18,soil,concrete
194891_fur_#_20,fur,fur
28064_wood_#_1,wood,wood
197481_stone_#_13,stone,concrete
213414_concrete_#_12,concrete,concrete
231566_plastic_#_39,plastic,paper
40552_ceramic_#_7,ceramic,ceramic
36991_metal_#_23,metal,wood
231457_soil_#_19,soil,soil
202098_fur_#_48,fur,fur
107057_paper_#_45,paper,paper
223676_plastic_#_14,plastic,glass
46278_fabric_#_48,fabric,cardboard
95980_paper_#_49,paper,glass
50888_wicker_#_32,wicker,wicker
53664_gemstone_#_32,gemstone,gemstone
25810_plastic_#_42,plastic,plastic
53396_sponge_#_6,sponge,sponge
226720_bone_#_31,bone,bone
54570_fur_#_16,fur,fur
204892_foliage_#_22,foliage,soil
43114_rubber_#_10,rubber,metal
54343_plastic_#_35,plastic,paper
228801_rubber_#_0,rubber,rubber
40210_cardboard_#_18,cardboard,cardboard
37045_metal_#_28,metal,metal
229570_concrete_#_0,concrete,cardboard
49609_ceramic_#_43,ceramic,ceramic
214467_fur_#_37,fur,fur
199446_rubber_#_47,rubber,leather
231497_concrete_#_44,concrete,concrete
228285_metal_#_0,metal,concrete
218814_concrete_#_29,concrete,concrete
210754_metal_#_3,metal,rubber
222842_foliage_#_18,foliage,foliage
219536_fur_#_30,fur,fur
201388_bone_#_36,bone,soil
25574_leather_#_11,leather,leather
99624_cardboard_#_37,cardboard,cardboard
42933_wicker_#_34,wicker,wicker
198191_fabric_#_17,fabric,fabric
210828_ceramic_#_16,ceramic,ceramic
214528_wood_#_29,wood,wood
28182_leather_#_46,leather,leather
26894_concrete_#_32,concrete,concrete
209476_wood_#_44,wood,wood
56780_sponge_#_46,sponge,sponge
40372_leather_#_12,leather,fur
195035_rubber_#_4,rubber,plastic
162956_cardboard_#_1,cardboard,cardboard
56603_wax_#_36,wax,wax
211592_soil_#_33,soil,soil
60756_fabric_#_45,fabric,wood
90606_ceramic_#_6,ceramic,metal
60842_cardboard_#_49,cardboard,cardboard
57248_gemstone_#_1,gemstone,gemstone
207432_fur_#_44,fur,fur
27943_wax_#_19,wax,wax
173837_fabric_#_21,fabric,glass
212439_fur_#_21,fur,fur
43947_sponge_#_11,sponge,sponge
204283_paper_#_18,paper,paper
220526_concrete_#_26,concrete,concrete
232683_wicker_#_8,wicker,gemstone
60330_wicker_#_20,wicker,wicker
205006_sponge_#_41,sponge,sponge
226117_paper_#_0,paper,paper
211251_wood_#_14,wood,wood
221730_wicker_#_0,wicker,wicker
226618_soil_#_24,soil,concrete
202563_stone_#_46,stone,soil
225735_fur_#_42,fur,fur
205915_soil_#_48,soil,soil
219558_plastic_#_38,plastic,metal
228480_stone_#_6,stone,fur
23700_ceramic_#_15,ceramic,ceramic
229925_wicker_#_26,wicker,leather
211838_rubber_#_6,rubber,rubber
221721_plastic_#_22,plastic,plastic
213543_gemstone_#_0,gemstone,gemstone
49679_sponge_#_37,sponge,sponge
197269_ceramic_#_0,ceramic,foliage
220505_fur_#_6,fur,fur
38664_leather_#_16,leather,leather
215431_rubber_#_3,rubber,rubber
208568_soil_#_9,soil,wood
197460_soil_#_22,soil,stone
195787_foliage_#_45,foliage,foliage
212155_plastic_#_41,plastic,foliage
58108_wax_#_20,wax,wax
36552_cardboard_#_32,cardboard,wood
23755_sponge_#_0,sponge,plastic
36645_wood_#_19,wood,metal
25859_glass_#_4,glass,paper
34502_glass_#_43,glass,glass
44577_leather_#_8,leather,wax
56062_glass_#_41,glass,glass
233241_metal_#_20,metal,metal
59921_plastic_#_44,plastic,rubber
41114_glass_#_14,glass,glass
40495_fabric_#_31,fabric,fabric
207383_bone_#_3,bone,bone
204790_foliage_#_11,foliage,foliage
33130_metal_#_43,metal,metal
59319_wicker_#_11,wicker,wicker
37683_leather_#_21,leather,leather
56457_gemstone_#_20,gemstone,gemstone
224943_foliage_#_10,foliage,foliage
226720_bone_#_41,bone,bone
160204_wax_#_27,wax,wax
132112_ceramic_#_22,ceramic,ceramic
222935_foliage_#_42,foliage,foliage
51042_wax_#_2,wax,wax
223047_foliage_#_39,foliage,foliage
207768_wood_#_36,wood,stone
223848_rubber_#_26,rubber,wax
218178_soil_#_3,soil,concrete
56076_wax_#_12,wax,wax
59266_ceramic_#_10,ceramic,ceramic
45336_wicker_#_25,wicker,wicker
221557_paper_#_13,paper,paper
32411_bone_#_1,bone,cardboard
223790_stone_#_12,stone,stone
38186_concrete_#_47,concrete,concrete
58672_leather_#_17,leather,leather
207933_bone_#_8,bone,bone
33584_fabric_#_35,fabric,fabric
45989_concrete_#_22,concrete,concrete
29166_wicker_#_39,wicker,wicker
222968_stone_#_41,stone,stone
220077_concrete_#_3,concrete,stone
219285_stone_#_16,stone,stone
202387_bone_#_32,bone,bone
202567_plastic_#_34,plastic,plastic
204625_rubber_#_12,rubber,fabric
230518_leather_#_19,leather,leather
199978_rubber_#_1,rubber,rubber
39760_sponge_#_9,sponge,sponge
217842_metal_#_33,metal,metal
125018_ceramic_#_45,ceramic,ceramic
40647_wax_#_33,wax,gemstone
220903_metal_#_46,metal,metal
32750_metal_#_7,metal,wax
195154_foliage_#_49,foliage,soil
44696_cardboard_#_46,cardboard,cardboard
221131_paper_#_28,paper,glass
205137_wicker_#_19,wicker,fur
28679_cardboard_#_23,cardboard,leather
225090_wood_#_35,wood,wood
44263_fabric_#_30,fabric,metal
58108_wax_#_14,wax,wax
40462_glass_#_29,glass,glass
197253_foliage_#_48,foliage,foliage
207824_rubber_#_29,rubber,wicker
23624_cardboard_#_25,cardboard,wood
58450_gemstone_#_41,gemstone,gemstone
54114_sponge_#_23,sponge,bone
58824_bone_#_43,bone,soil
218194_metal_#_17,metal,metal
197755_fur_#_49,fur,fur
201754_stone_#_0,stone,concrete
31587_fabric_#_34,fabric,fabric
44359_leather_#_18,leather,leather
202228_paper_#_29,paper,paper
207132_soil_#_37,soil,concrete
230711_rubber_#_8,rubber,ceramic
34841_leather_#_9,leather,leather
205758_paper_#_8,paper,paper
208278_fabric_#_11,fabric,paper
42175_glass_#_19,glass,glass
221994_plastic_#_24,plastic,cardboard
50191_cardboard_#_29,cardboard,glass
196458_soil_#_1,soil,concrete
215947_cardboard_#_4,cardboard,glass
59645_rubber_#_24,rubber,rubber
157611_plastic_#_16,plastic,leather
229496_wicker_#_4,wicker,wicker
